,Lat,Lon,h'
0,0.0,-160.33333493728185,1918.5540408958132
1,-0.05956317099129814,-160.23016840595378,1918.554512341596
2,-0.11912614886995145,-160.12700165163895,1918.5559266772325
3,-0.17868874052227163,-160.02383445135163,1918.5582838975697
4,-0.23825075283248337,-159.92066658210797,1918.5615839940237
5,-0.29781199268168124,-159.81749782092703,1918.565826954582
6,-0.35737226694678553,-159.71432794483167,1918.5710127637994
7,-0.4169313824995005,-159.61115673084967,1918.5771414027877
8,-0.4764891462052697,-159.50798395601456,1918.5842128492332
9,-0.5360453649222343,-159.40480939736656,1918.59222707739
10,-0.5955998455001891,-159.3016328319537,1918.6011840580795
11,-0.6551523947795419,-159.19845403683266,1918.6110837586857
12,-0.7147028195902683,-159.0952727890697,1918.621926143167
13,-0.7742509267508734,-158.99208886574183,1918.6337111720386
14,-0.8337965230673472,-158.8889020439376,1918.6464388023924
15,-0.8933394153321236,-158.78571210075813,1918.660108987886
16,-0.9528794103230407,-158.682518813318,1918.6747216787408
17,-1.0124163148022995,-158.57932195874645,1918.6902768217478
18,-1.0719499355154227,-158.47612131418808,1918.7067743602656
19,-1.1314800791902158,-158.372916656804,1918.7242142342184
20,-1.1910065525357285,-158.26970776377274,1918.7425963801034
21,-1.2505291622412131,-158.16649441229126,1918.7619207309817
22,-1.3100477149750898,-158.06327637957594,1918.7821872164823
23,-1.3695620173839054,-157.96005344286348,1918.803395762805
24,-1.429071876091299,-157.85682537941202,1918.8255462927082
25,-1.4885770976969626,-157.753591966502,1918.848638725538
26,-1.548077488775607,-157.6503529814372,1918.872672977188
27,-1.6075728558759264,-157.54710820154577,1918.8976489601318
28,-1.6670630055195617,-157.4438574041812,1918.923566583404
29,-1.7265477442000674,-157.34060036672318,1918.950425752626
30,-1.7860268783818816,-157.2373368665789,1918.9782263699599
31,-1.8455002144992878,-157.1340666811837,1919.0069683341608
32,-1.9049675589553856,-157.03078958800234,1919.0366515405422
33,-1.964428718121064,-156.92750536452988,1919.0672758809833
34,-2.023883498333961,-156.82421378829272,1919.0988412439474
35,-2.083331705897446,-156.72091463684964,1919.1313475144507
36,-2.142773147079585,-156.61760768779268,1919.1647945740915
37,-2.2022076281121126,-156.5142927187484,1919.1991823010285
38,-2.2616349551894084,-156.41096950737864,1919.2345105699987
39,-2.3210549344674716,-156.30763783138167,1919.2707792523033
40,-2.380467372062894,-156.20429746849334,1919.3079882158163
41,-2.439872074051837,-156.10094819648782,1919.346137324983
42,-2.4992688464690125,-155.99758979317886,1919.3852264408197
43,-2.5586574953066576,-155.8942220364208,1919.4252554209124
44,-2.618037826513517,-155.79084470410953,1919.466224119422
45,-2.677409645993824,-155.68745757418355,1919.5081323870672
46,-2.736772759606278,-155.5840604246251,1919.5509800711625
47,-2.7961269731630365,-155.48065303346115,1919.5947670155729
48,-2.855472092428691,-155.3772351787644,1919.639493060744
49,-2.9148079231192603,-155.27380663865452,1919.6851580436924
50,-2.9741342709011698,-155.17036719129902,1919.7317617980134
51,-3.0334509413902495,-155.0669166149144,1919.7793041538607
52,-3.0927577401507143,-154.96345468776724,1919.8277849379756
53,-3.1520544726941626,-154.85998118817528,1919.8772039736668
54,-3.2113409444785628,-154.75649589450848,1919.9275610808127
55,-3.270616960907255,-154.6529985851901,1919.9788560758716
56,-3.3298823273279368,-154.5494890386978,1920.0310887718733
57,-3.389136849031669,-154.44596703356476,1920.084258978426
58,-3.448380331251871,-154.34243234838075,1920.138366501702
59,-3.5076125791633186,-154.23888476179326,1920.1934111444589
60,-3.5668333978811493,-154.1353240525086,1920.249392706024
61,-3.626042592459862,-154.031749999293,1920.3063109823033
62,-3.685239967892329,-153.9281623809738,1920.3641657657754
63,-3.7444253291087906,-153.82456097644044,1920.4229568454957
64,-3.803598480975878,-153.7209455646458,1920.4826840070982
65,-3.862759228295608,-153.61731592460714,1920.5433470327935
66,-3.9219073758044085,-153.5136718354074,1920.6049457013614
67,-3.9810427281721266,-153.41001307619618,1920.6674797881678
68,-4.040165090001038,-153.30633942619102,1920.730949065157
69,-4.09927426582488,-153.20265066467863,1920.7953533008422
70,-4.158370060107848,-153.09894657101586,1920.8606922603249
71,-4.217452277243641,-152.99522692463103,1920.9269657052773
72,-4.276520721554469,-152.89149150502502,1920.9941733939522
73,-4.335575197290083,-152.7877400917725,1921.0623150811807
74,-4.394615508626794,-152.68397246452318,1921.1313905183852
75,-4.453641459666525,-152.58018840300284,1921.2013994535519
76,-4.51265285443581,-152.4763876870147,1921.2723416312529
77,-4.571649496884856,-152.37257009644063,1921.3442167926478
78,-4.630631190886561,-152.26873541124223,1921.417024675462
79,-4.689597740235558,-152.16488341146217,1921.4907650140194
80,-4.7485489486472545,-152.0610138772254,1921.5654375392169
81,-4.807484619756873,-151.95712658874035,1921.6410419785334
82,-4.866404557118496,-151.85322132630026,1921.7175780560337
83,-4.925308564204117,-151.74929787028438,1921.7950454923593
84,-4.984196444402677,-151.64535600115917,1921.873444004741
85,-5.043068001019132,-151.5413954994797,1921.9527733069954
86,-5.1019230372734965,-151.43741614589086,1922.0330331095174
87,-5.160761356299903,-151.3334177211286,1922.114223119288
88,-5.219582761145652,-151.22940000602125,1922.1963430398737
89,-5.278387054770292,-151.12536278149096,1922.2793925714286
90,-5.337174040044668,-151.02130582855472,1922.3633714106873
91,-5.395943519749985,-150.91722892832595,1922.4482792509825
92,-5.4546952965768964,-150.81313186201564,1922.5341157822168
93,-5.5134291731245515,-150.70901441093378,1922.6208806908908
94,-5.572144951899683,-150.60487635649068,1922.7085736600948
95,-5.630842435315685,-150.50071748019826,1922.7971943694993
96,-5.689521425691687,-150.39653756367144,1922.8867424953642
97,-5.748181725251636,-150.29233638862962,1922.9772177105533
98,-5.806823136123388,-150.18811373689783,1923.0686196844945
99,-5.865445460337786,-150.08386939040824,1923.1609480832303
100,-5.924048499827767,-149.9796031312016,1923.2542025693747
101,-5.982632056427431,-149.8753147414285,1923.348382802149
102,-6.041195931871163,-149.7710040033509,1923.4434884373532
103,-6.099739927792723,-149.66667069934348,1923.539519127382
104,-6.158263845724335,-149.56231461189506,1923.6364745212322
105,-6.216767487095819,-149.45793552361005,1923.7343542644794
106,-6.275250653233678,-149.35353321720996,1923.8331579993028
107,-6.333713145360221,-149.2491074755347,1923.932885364473
108,-6.392154764592675,-149.14465808154418,1924.0335359953533
109,-6.450575311942302,-149.04018481831977,1924.1351095239042
110,-6.508974588313524,-148.93568746906564,1924.2376055786808
111,-6.567352394503045,-148.83116581711045,1924.3410237848366
112,-6.625708531198981,-148.72661964590873,1924.4453637641182
113,-6.684042798979985,-148.62204873904233,1924.550625134876
114,-6.742354998314397,-148.51745288022218,1924.6568075120504
115,-6.800644929559366,-148.4128318532895,1924.7639105071812
116,-6.858912392959998,-148.3081854422176,1924.8719337284165
117,-6.917157188648505,-148.2035134311133,1924.9808767804934
118,-6.975379116643351,-148.09881560421852,1925.090739264755
119,-7.033577976848401,-147.99409174591187,1925.2015207791428
120,-7.091753569052076,-147.88934164071023,1925.3132209182022
121,-7.149905692926531,-147.78456507327024,1925.4258392730771
122,-7.208034148026783,-147.6797618283901,1925.5393754315155
123,-7.266138733789918,-147.57493169101096,1925.6538289778691
124,-7.3242192495342335,-147.47007444621875,1925.7691994930956
125,-7.38227549445842,-147.3651898792456,1925.8854865547528
126,-7.440307267640746,-147.26027777547176,1926.002689737008
127,-7.498314368038238,-147.15533792042697,1926.120808610629
128,-7.556296594485856,-147.05037009979225,1926.2398427429998
129,-7.614253745695704,-146.94537409940168,1926.3597916980943
130,-7.672185620256208,-146.84034970524385,1926.4806550365138
131,-7.730092016631317,-146.7352967034639,1926.6024323154543
132,-7.787972733159707,-146.63021488036483,1926.7251230887287
133,-7.845827568054002,-146.52510402240955,1926.8487269067464
134,-7.903656319399943,-146.41996391622249,1926.9732433165518
135,-7.961458785155663,-146.31479434859125,1927.0986718617733
136,-8.019234763150854,-146.20959510646858,1927.2250120826684
137,-8.076984051086018,-146.10436597697398,1927.352263516099
138,-8.13470644653168,-145.99910674739556,1927.4804256955485
139,-8.19240174692764,-145.8938172051917,1927.609498151105
140,-8.250069749582192,-145.78849713799312,1927.739480409473
141,-8.307710251671361,-145.68314633360444,1927.8703719939767
142,-8.365323050238178,-145.57776458000612,1928.0021724245526
143,-8.422907942191895,-145.47235166535634,1928.1348812177548
144,-8.480464724307257,-145.36690737799276,1928.2684978867564
145,-8.537993193223768,-145.26143150643452,1928.4030219413435
146,-8.595493145444937,-145.15592383938395,1928.5384528879295
147,-8.65296437733757,-145.0503841657286,1928.674790229541
148,-8.710406685131016,-144.94481227454304,1928.8120334658252
149,-8.767819864916465,-144.83920795509098,1928.9501820930564
150,-8.825203712646237,-144.73357099682696,1929.0892356041222
151,-8.882558024133042,-144.6279011893984,1929.2291934885416
152,-8.939882595049307,-144.52219832264754,1929.370055232448
153,-8.997177220926446,-144.41646218661347,1929.5118203186103
154,-9.054441697154184,-144.31069257153408,1929.6544882264116
155,-9.111675818979853,-144.204889267848,1929.7980584318684
156,-9.168879381507715,-144.09905206619666,1929.9425304076194
157,-9.22605217969826,-143.9931807574264,1930.0879036229362
158,-9.28319400836757,-143.88727513259025,1930.234177543709
159,-9.340304662186595,-143.78133498295034,1930.3813516324717
160,-9.397383935680542,-143.67536009997966,1930.5294253483735
161,-9.454431623228178,-143.56935027536434,1930.6783981472036
162,-9.511447519061178,-143.46330530100553,1930.8282694813788
163,-9.568431417263504,-143.3572249690218,1930.9790387999528
164,-9.625383111770722,-143.251109071751,1931.1307055486086
165,-9.682302396369394,-143.14495740175244,1931.2832691696622
166,-9.739189064696438,-143.0387697518092,1931.4367291020699
167,-9.79604291023849,-142.93254591493022,1931.5910847814212
168,-9.8528637263313,-142.82628568435226,1931.7463356399421
169,-9.909651306159102,-142.71998885354245,1931.9024811064974
170,-9.96640544275402,-142.61365521620021,1932.05952060659
171,-10.02312592899544,-142.50728456625967,1932.2174535623635
