,f,delta_V_r,delta_V_theta,delta_V,v+,v-,w+
715,4.496974469102506,7.760395052519634,0.3250244446146118,7.76719848212779,[3.79319043 5.24090254],[-3.96720462  4.91587809],432.87547199959937
716,4.503263943884468,7.766976226318747,0.3266753028249676,7.773843094228002,[3.79439045 5.26752204],[-3.97258577  4.94084673],433.63785206941367
717,4.50955341866643,7.773214409365416,0.3283283660831451,7.780145356607481,[3.79540463 5.29417709],[-3.97780978  4.96584872],434.400651673485
718,4.515842893448391,7.7791087660147635,0.3299835689983217,7.7861044399170884,[3.79623233 5.32086664],[-3.98287644  4.99088307],435.1638744090795
719,4.522132368230353,7.784658468640859,0.3316408460950351,7.791719522941035,[3.79687292 5.34758964],[-3.98778554  5.01594879],435.9275239792113
720,4.528421843012314,7.789862697477144,0.33330013181577467,7.796989792440048,[3.7973258  5.37434503],[-3.9925369   5.04104489],436.69160419437355
721,4.534711317794276,7.794720640452467,0.3349613605235735,7.801914442990228,[3.79759031 5.40113174],[-3.99713033  5.06617038],437.4561189743438
722,4.541000792576237,7.799231493022491,0.3366244665046043,7.806492676817378,[3.79766586 5.42794873],[-4.00156563  5.09132426],438.22107235006695
723,4.547290267358199,7.803394457996353,0.3382893839707819,7.81072370362667,[3.79755181 5.45479493],[-4.00584265  5.11650554],438.98646846561866
724,4.55357974214016,7.807208745358286,0.33995604706236104,7.814606740427388,[3.79724754 5.48166927],[-4.00996121  5.14171322],439.7523115802495
725,4.559869216922122,7.810673572084083,0.341624389850546,7.818141011352602,[3.79675243 5.5085707 ],[-4.01392114  5.16694631],440.51860607051566
726,4.566158691704083,7.81378816195211,0.3432943463400955,7.821325747473507,[3.79606587 5.53549815],[-4.01772229  5.1922038 ],441.28535643249455
727,4.572448166486045,7.816551745348708,0.3449658504719375,7.824160186608257,[3.79518723 5.56245055],[-4.02136451  5.2174847 ],442.05256728409245
728,4.578737641268006,7.818963559067692,0.3466388361257744,7.8266435731250175,[3.7941159  5.58942685],[-4.02484766  5.24278801],442.82024336744405
729,4.585027116049968,7.821022846103753,0.34831323712270823,7.828775157739029,[3.79285125 5.61642596],[-4.0281716   5.26811272],443.5883895514086
730,4.59131659083193,7.82272885543948,0.34998898722784855,7.830554197303423,[3.79139267 5.64344683],[-4.03133619  5.29345784],444.3570108341641
731,4.597606065613891,7.824080841825743,0.35166602015294224,7.831979954593527,[3.78973953 5.67048838],[-4.03434131  5.31882236],445.1261123459052
732,4.603895540395853,7.825078065555182,0.3533442695589919,7.8330516980844065,[3.78789122 5.69754955],[-4.03718684  5.34420528],445.89569935164747
733,4.610185015177814,7.825719792228483,0.3550236690588733,7.833768701721326,[3.78584712 5.72462927],[-4.03987268  5.3696056 ],446.6657772541394
734,4.616474489959776,7.826005292513177,0.3567041522199741,7.834130244682892,[3.78360659 5.75172646],[-4.0423987  5.3950223],447.43635159689154
735,4.622763964741737,7.825933841894614,0.35838565256681054,7.834135611136504,[3.78116902 5.77884005],[-4.04476482  5.42045439],448.20742806732
736,4.629053439523699,7.8255047204188255,0.36006810358366437,7.833784089985864,[3.77853378 5.80596897],[-4.04697094  5.44590086],448.9790125000154
737,4.63534291430566,7.824717212426919,0.3617514387172136,7.8330749746101676,[3.77570024 5.83311214],[-4.04901698  5.4713607 ],449.7511108801359
738,4.641632389087622,7.823570606280617,0.36343559137915626,7.832007562594611,[3.77266777 5.8602685 ],[-4.05090284  5.49683291],450.52372934693426
739,4.647921863869583,7.822064194078633,0.36512049494885535,7.830581155451919,[3.76943573 5.88743696],[-4.05262846  5.52231647],451.29687419741924
740,4.654211338651545,7.820197271363444,0.3668060827759705,7.828795058334437,[3.7660035  5.91461646],[-4.05419377  5.54781038],452.0705518901617
