,x,y,z
0,-9076.524485851947,5962.9492439085925,0.0
1,-9076.57182238728,5962.95549776422,0.0
2,-9077.045180163617,5963.018031342777,-4.547473508864641e-13
3,-9081.77800041613,5963.642869555998,0.0
4,-9129.030637912161,5969.8416928681145,0.0
5,-9237.718354526683,5983.827706570899,0.0
6,-9346.900096144533,5997.497494726054,-4.547473508864641e-13
7,-9456.829251811152,6010.878910414317,-4.547473508864641e-13
8,-9567.50493154797,6023.966612551989,-1.3642420526593924e-12
9,-9678.927158575854,6036.755330170034,0.0
10,-9791.095803507247,6049.239727679134,0.0
11,-9904.010615669315,6061.414408700641,-4.547473508864641e-13
12,-10017.671173304152,6073.2739108670685,-4.547473508864641e-13
13,-10132.076914267007,6084.812709587672,-4.547473508864641e-13
14,-10247.227119918374,6096.025216641733,-1.3642420526593924e-12
15,-10363.120922958036,6106.905781259113,-9.094947017729282e-13
16,-10479.7572675131,6117.448686747588,-1.3642420526593924e-12
17,-10597.13495082525,6127.648154847922,-1.3642420526593924e-12
18,-10715.252587558112,6137.4983428385,-9.094947017729282e-13
19,-10834.108622560147,6146.993345116823,-1.3642420526593924e-12
20,-10953.701323252724,6156.127192932334,-1.8189894035458565e-12
21,-11074.02875685701,6164.893853140655,-1.8189894035458565e-12
22,-11195.088824875424,6173.2872312463605,-1.3642420526593924e-12
23,-11316.879212006112,6181.301168173977,-1.8189894035458565e-12
24,-11439.397427898966,6188.929443674718,-4.547473508864641e-13
25,-11562.640763302112,6196.165773906931,-9.094947017729282e-13
26,-11686.606303692017,6203.003812953144,0.0
27,-11811.290927866707,6209.437153231738,4.547473508864641e-13
28,-11936.6913111118,6215.459326082337,4.547473508864641e-13
29,-12062.803890139621,6221.063800583383,9.094947017729282e-13
30,-12189.62487743931,6226.243984984438,1.3642420526593924e-12
31,-12317.15026373258,6230.993227338114,1.8189894035458565e-12
32,-12445.375790148562,6235.304815043202,1.8189894035458565e-12
33,-12574.296958258394,6239.171975986908,1.8189894035458565e-12
34,-12703.909041629176,6242.58787943336,1.8189894035458565e-12
35,-12834.207043747574,6245.545635463732,2.7284841053187847e-12
36,-12965.185723130486,6248.038296419632,1.8189894035458565e-12
37,-13096.839577929286,6250.058857170171,1.8189894035458565e-12
38,-13229.162827621167,6251.600255611864,9.094947017729282e-13
39,-13362.149429447662,6252.655373708494,2.7284841053187847e-12
40,-13495.793047116502,6253.21703797281,2.7284841053187847e-12
41,-13630.08708176791,6253.278020480535,1.8189894035458565e-12
42,-13765.024620922224,6252.831039530396,2.7284841053187847e-12
43,-13900.598481418376,6251.86876053091,3.637978807091713e-12
44,-14036.801152813732,6250.383797100956,3.637978807091713e-12
45,-14173.624840069999,6248.368711726142,3.637978807091713e-12
46,-14311.061430290909,6245.816016904777,3.637978807091713e-12
47,-14449.102492522146,6242.718176165584,2.7284841053187847e-12
48,-14587.739257112533,6239.067605579379,3.637978807091713e-12
49,-14726.962633297317,6234.856674433868,4.547473508864641e-12
50,-14867.230915866927,6230.060790508192,4.547473508864641e-12
51,-15008.712097744094,6224.659492742985,5.4569682106375694e-12
52,-15151.390516953988,6218.637412167616,4.547473508864641e-12
53,-15295.250943335155,6211.97904584565,4.547473508864641e-12
54,-15440.277447705745,6204.66879628891,3.637978807091713e-12
55,-15586.453441476724,6196.690971966727,3.637978807091713e-12
56,-15733.761586843524,6188.0297944395625,4.547473508864641e-12
57,-15882.183865533269,6178.669397169502,3.637978807091713e-12
58,-16031.701522601925,6168.593830983176,4.547473508864641e-12
59,-16182.295097342307,6157.787064258188,5.4569682106375694e-12
60,-16333.944381716485,6146.232987674663,5.4569682106375694e-12
61,-16486.62843865921,6133.915414789206,5.4569682106375694e-12
62,-16640.325561119993,6120.818086968058,5.4569682106375694e-12
63,-16795.01332403729,6106.924670532861,6.366462912410498e-12
64,-16950.668512251417,6092.218764104776,5.4569682106375694e-12
65,-17107.267170643718,6076.683895164432,4.547473508864641e-12
66,-17264.78455186857,6060.303525672729,4.547473508864641e-12
67,-17423.19514180325,6043.061050110991,4.547473508864641e-12
68,-17582.472636475344,6024.9397979601035,4.547473508864641e-12
69,-17742.589921090854,6005.923036115158,3.637978807091713e-12
70,-17903.51909032359,5985.9939662074885,2.7284841053187847e-12
71,-18065.23141098336,5965.135728340152,3.637978807091713e-12
72,-18227.697302032204,5943.3314030235,3.637978807091713e-12
73,-18390.88638214416,5920.564003538737,1.8189894035458565e-12
74,-18554.76735513692,5896.81649005091,2.7284841053187847e-12
75,-18719.308085144894,5872.071757706479,2.7284841053187847e-12
76,-18884.475534651556,5846.312643311394,4.547473508864641e-12
77,-19050.235743862104,5819.521926505853,4.547473508864641e-12
78,-19216.55382541434,5791.682328236069,3.637978807091713e-12
79,-19383.393921323233,5762.776515215372,3.637978807091713e-12
80,-19550.719185032845,5732.787100440313,4.547473508864641e-12
81,-19718.49174897952,5701.696646154647,3.637978807091713e-12
82,-19886.672707043894,5669.487664128912,3.637978807091713e-12
83,-20055.222052049783,5636.142624603473,3.637978807091713e-12
84,-20224.09865960407,5601.6439569362265,3.637978807091713e-12
85,-20393.26023013537,5565.974058737898,3.637978807091713e-12
86,-20562.663259255,5529.115299913936,2.7284841053187847e-12
87,-20732.26297049866,5491.050035316611,3.637978807091713e-12
88,-20902.013258330146,5451.760616584668,2.7284841053187847e-12
89,-21071.866628960837,5411.229405750251,5.4569682106375694e-12
90,-21241.774145696785,5369.438789110136,3.637978807091713e-12
91,-21411.685340272164,5326.371201111253,3.637978807091713e-12
92,-21581.548139285624,5282.009147151568,4.547473508864641e-12
93,-21751.308771826254,5236.3352339278335,4.547473508864641e-12
94,-21920.911663027815,5189.332207255171,2.7284841053187847e-12
95,-22090.29935825657,5140.982985527308,3.637978807091713e-12
96,-22259.412366596487,5091.270720575306,2.7284841053187847e-12
97,-22428.189055092862,5040.178850860753,3.637978807091713e-12
98,-22596.5655145751,4987.691169581433,3.637978807091713e-12
99,-22764.475393280427,4933.791911400148,1.8189894035458565e-12
100,-22931.84974941479,4878.465843701919,5.4569682106375694e-12
101,-23098.616851596136,4821.698386812213,3.637978807091713e-12
102,-23264.70202119865,4763.4757347742925,3.637978807091713e-12
103,-23430.027403294083,4703.78501693498,5.4569682106375694e-12
104,-23594.51176887488,4642.614468941899,3.637978807091713e-12
105,-23758.070287564613,4579.953637031493,3.637978807091713e-12
106,-23920.6143091024,4515.793605646672,3.637978807091713e-12
107,-24082.051131233762,4450.127260585978,3.637978807091713e-12
108,-24242.283789281384,4382.949578170515,5.4569682106375694e-12
109,-24401.210856423608,4314.25794843972,3.637978807091713e-12
