,Area/Area_cr,SubsonicOnly,Subsonic/Supersonic,Supersonic/Subsonic,SupersonicOnly
938,2.9713745107091922,0.199445000421697,8.352396080390358,0.199445000421697,8.352396080390358
939,2.9723010367323934,0.19937974035302258,8.355227716085505,0.19937974035302258,8.355227716085505
940,2.973212531115249,0.1993155817682319,8.358013335008426,0.1993155817682319,8.358013335008426
941,2.9741089797661813,0.1992525235197054,8.360752897964892,0.1992525235197054,8.360752897964892
942,2.9749903688262167,0.19919056447973166,8.363446366405796,0.19919056447973166,8.363446366405796
943,2.9758566846692025,0.19912970354047566,8.366093702427861,0.19912970354047566,8.366093702427861
944,2.9767079139020147,0.19906993961394748,8.368694868774307,0.19906993961394748,8.368694868774307
945,2.977544043364766,0.19901127163197224,8.371249828835522,0.19901127163197224,8.371249828835522
946,2.9783650601310097,0.1989536985461593,8.373758546649709,0.1989536985461593,8.373758546649709
947,2.97917095150794,0.19889721932787327,8.376220986903542,0.19889721932787327,8.376220986903542
948,2.9799617050365867,0.19884183296820498,8.378637114932785,0.19884183296820498,8.378637114932785
949,2.9807373084920092,0.1987875384779429,8.38100689672292,0.1987875384779429,8.38100689672292
950,2.9814977498834847,0.19873433488754572,8.383330298909748,0.19873433488754572,8.383330298909748
951,2.9822430174546937,0.1986822212471147,8.385607288779985,0.1986822212471147,8.385607288779985
952,2.982973099683902,0.1986311966263671,8.38783783427186,0.1986311966263671,8.38783783427186
953,2.9836879852841385,0.19858126011460997,8.390021903975668,0.19858126011460997,8.390021903975668
954,2.9843876632033703,0.19853241082071454,8.392159467134347,0.19853241082071454,8.392159467134347
955,2.9850721226246737,0.19848464787309097,8.394250493644016,0.19848464787309097,8.394250493644016
956,2.985741352966399,0.19843797041966435,8.396294954054524,0.19843797041966435,8.396294954054524
957,2.9863953438823376,0.19839237762784995,8.398292819569958,0.19839237762784995,8.398292819569958
958,2.98703408526188,0.19834786868453028,8.400244062049184,0.19834786868453028,8.400244062049184
959,2.9876575672301726,0.19830444279603218,8.402148654006325,0.19830444279603218,8.402148654006325
960,2.988265780148269,0.19826209918810442,8.404006568611257,0.19826209918810442,8.404006568611257
961,2.9888587146132815,0.1982208371058957,8.405817779690103,0.1982208371058957,8.405817779690103
962,2.989436361458525,0.1981806558139334,8.407582261725683,0.1981806558139334,8.407582261725683
963,2.9899987117536586,0.1981415545961035,8.409299989857972,0.1981415545961035,8.409299989857972
964,2.990545756804824,0.19810353275562947,8.410970939884553,0.19810353275562947,8.410970939884553
965,2.99107748815478,0.19806658961505347,8.412595088261039,0.19806658961505347,8.412595088261039
966,2.9915938975830327,0.19803072451621653,8.4141724121015,0.19803072451621653,8.4141724121015
967,2.992094977105964,0.1979959368202406,8.415702889178867,0.1979959368202406,8.415702889178867
968,2.992580718976953,0.1979622259075104,8.417186497925332,0.1979622259075104,8.417186497925332
969,2.993051115686497,0.19792959117765568,8.418623217432724,0.19792959117765568,8.418623217432724
970,2.993506159962328,0.19789803204953482,8.4200130274529,0.19789803204953482,8.4200130274529
971,2.9939458447695233,0.19786754796121786,8.421355908398082,0.19786754796121786,8.421355908398082
972,2.994370163310617,0.1978381383699711,8.422651841341228,0.1978381383699711,8.422651841341228
973,2.994779109025702,0.1978098027522417,8.423900808016358,0.1978098027522417,8.423900808016358
974,2.995172675592535,0.19778254060364275,8.425102790818887,0.19778254060364275,8.425102790818887
