,SubsonicOnly,Subsonic/Supersonic,Supersonic/Subsonic,SupersonicOnly
881,0.9711212940820867,9.324171368878029e-05,0.9711212940820867,9.324171368878029e-05
882,0.9711573876191334,9.284137932295183e-05,0.9711573876191334,9.284137932295183e-05
883,0.971193128244313,9.24461535483981e-05,0.971193128244313,9.24461535483981e-05
884,0.9712285171855192,9.205598562855628e-05,0.9712285171855192,9.205598562855628e-05
885,0.9712635556576745,9.167082559639022e-05,0.9712635556576745,9.167082559639022e-05
886,0.9712982448628054,9.12906242438921e-05,0.9712982448628054,9.12906242438921e-05
887,0.9713325859900995,9.09153331117654e-05,0.9713325859900995,9.09153331117654e-05
888,0.9713665802159749,9.054490447928691e-05,0.9713665802159749,9.054490447928691e-05
889,0.9714002287041432,9.017929135434128e-05,0.9714002287041432,9.017929135434128e-05
890,0.9714335326056732,8.98184474636295e-05,0.9714335326056732,8.98184474636295e-05
891,0.9714664930590523,8.946232724304517e-05,0.9714664930590523,8.946232724304517e-05
892,0.971499111190249,8.911088582821793e-05,0.971499111190249,8.911088582821793e-05
893,0.9715313881127752,8.876407904522042e-05,0.9715313881127752,8.876407904522042e-05
894,0.9715633249277438,8.842186340143604e-05,0.9715633249277438,8.842186340143604e-05
895,0.9715949227239321,8.80841960765862e-05,0.9715949227239321,8.80841960765862e-05
896,0.9716261825778384,8.775103491391202e-05,0.9716261825778384,8.775103491391202e-05
897,0.9716571055537407,8.742233841151183e-05,0.9716571055537407,8.742233841151183e-05
898,0.9716876927037559,8.709806571382673e-05,0.9716876927037559,8.709806571382673e-05
899,0.9717179450678952,8.677817660327821e-05,0.9717179450678952,8.677817660327821e-05
900,0.9717478636741206,8.646263149204943e-05,0.9717478636741206,8.646263149204943e-05
901,0.9717774495384031,8.615139141401197e-05,0.9717774495384031,8.615139141401197e-05
902,0.9718067036647734,8.584441801679446e-05,0.9718067036647734,8.584441801679446e-05
903,0.9718356270453814,8.554167355399025e-05,0.9718356270453814,8.554167355399025e-05
904,0.9718642206605455,8.524312087750212e-05,0.9718642206605455,8.524312087750212e-05
905,0.9718924854788074,8.494872343002412e-05,0.9718924854788074,8.494872343002412e-05
906,0.9719204224569861,8.46584452376546e-05,0.9719204224569861,8.46584452376546e-05
907,0.9719480325402275,8.437225090264207e-05,0.9719480325402275,8.437225090264207e-05
908,0.9719753166620563,8.409010559625863e-05,0.9719753166620563,8.409010559625863e-05
909,0.9720022757444261,8.381197505180221e-05,0.9720022757444261,8.381197505180221e-05
