,sub2sub,sub2sup,sup2sub,sup2sup
317,0.794031857261659,0.794031857261659,1.5626458655536999,1.5626458655536999
318,0.7950664636515703,0.7950664636515703,1.5592013525387132,1.5592013525387132
319,0.7961022289824129,0.7961022289824129,1.55576062801535,1.55576062801535
320,0.7971391522433774,0.7971391522433774,1.5523236938936982,1.5523236938936982
321,0.798177232414048,0.798177232414048,1.5488905520819731,1.5488905520819731
322,0.7992164684643979,0.7992164684643979,1.545461204486546,1.545461204486546
323,0.8002568593547841,0.8002568593547841,1.5420356530119899,1.5420356530119899
324,0.8012984040359442,0.8012984040359442,1.5386138995611256,1.5386138995611256
325,0.8023411014489938,0.8023411014489938,1.535195946035051,1.535195946035051
326,0.8033849505254211,0.8033849505254211,1.5317817943331984,1.5317817943331984
327,0.8044299501870859,0.8044299501870859,1.528371446353349,1.528371446353349
328,0.8054760993462161,0.8054760993462161,1.5249649039916975,1.5249649039916975
329,0.8065233969054025,0.8065233969054025,1.5215621691428827,1.5215621691428827
330,0.807571841757602,0.807571841757602,1.5181632437000196,1.5181632437000196
331,0.8086214327861276,0.8086214327861276,1.5147681295547493,1.5147681295547493
332,0.8096721688646525,0.8096721688646525,1.5113768285972717,1.5113768285972717
333,0.8107240488572045,0.8107240488572045,1.5079893427163809,1.5079893427163809
334,0.8117770716181616,0.8117770716181616,1.5046056737995221,1.5046056737995221
335,0.8128312359922596,0.8128312359922596,1.5012258237327987,1.5012258237327987
336,0.8138865408145792,0.8138865408145792,1.4978497944010374,1.4978497944010374
337,0.8149429849105515,0.8149429849105515,1.4944775876878136,1.4944775876878136
338,0.8160005670959496,0.8160005670959496,1.4911092054754935,1.4911092054754935
339,0.8170592861768994,0.8170592861768994,1.4877446496452624,1.4877446496452624
340,0.818119140949862,0.818119140949862,1.4843839220771746,1.4843839220771746
341,0.819180130201647,0.819180130201647,1.481027024650176,1.481027024650176
342,0.8202422527094007,0.8202422527094007,1.4776739592421537,1.4776739592421537
343,0.8213055072406106,0.8213055072406106,1.4743247277299616,1.4743247277299616
344,0.8223698925531006,0.8223698925531006,1.4709793319894628,1.4709793319894628
345,0.8234354073950313,0.8234354073950313,1.4676377738955604,1.4676377738955604
346,0.8245020505049004,0.8245020505049004,1.4643000553222323,1.4643000553222323
347,0.8255698206115362,0.8255698206115362,1.4609661781425731,1.4609661781425731
348,0.8266387164340984,0.8266387164340984,1.4576361442288233,1.4576361442288233
349,0.8277087366820749,0.8277087366820749,1.4543099554524,1.4543099554524
350,0.8287798800552835,0.8287798800552835,1.4509876136839366,1.4509876136839366
351,0.829852145243861,0.829852145243861,1.447669120793318,1.447669120793318
352,0.8309255309282696,0.8309255309282696,1.444354478649703,1.444354478649703
353,0.8320000357792825,0.8320000357792825,1.4410436891215732,1.4410436891215732
354,0.8330756584579904,0.8330756584579904,1.4377367540767558,1.4377367540767558
355,0.83415239761579,0.83415239761579,1.4344336753824505,1.4344336753824505
356,0.8352302518943792,0.8352302518943792,1.431134454905275,1.431134454905275
357,0.8363092199257519,0.8363092199257519,1.4278390945112887,1.4278390945112887
358,0.8373893003321862,0.8373893003321862,1.4245475960660257,1.4245475960660257
359,0.8384704917262419,0.8384704917262419,1.4212599614345258,1.4212599614345258
360,0.8395527927107453,0.8395527927107453,1.4179761924813634,1.4179761924813634
361,0.8406362018787787,0.8406362018787787,1.4146962910706824,1.4146962910706824
362,0.8417207178136662,0.8417207178136662,1.4114202590662204,1.4114202590662204
363,0.8428063390889569,0.8428063390889569,1.4081480983313477,1.4081480983313477
364,0.843893064268411,0.843893064268411,1.404879810729079,1.404879810729079
365,0.8449808919059717,0.8449808919059717,1.4016153981221249,1.4016153981221249
366,0.846069820545749,0.846069820545749,1.398354862372902,1.398354862372902
367,0.8471598487219858,0.8471598487219858,1.395098205343576,1.395098205343576
368,0.8482509749590303,0.8482509749590303,1.3918454288960738,1.3918454288960738
369,0.8493431977713017,0.8493431977713017,1.3885965348921272,1.3885965348921272
370,0.8504365156632437,0.8504365156632437,1.3853515251932857,1.3853515251932857
371,0.8515309271292882,0.8515309271292882,1.382110401660951,1.382110401660951
372,0.85262643065379,0.85262643065379,1.3788731661564133,1.3788731661564133
373,0.8537230247109788,0.8537230247109788,1.375639820540854,1.375639820540854
374,0.8548207077648884,0.8548207077648884,1.3724103666753882,1.3724103666753882
375,0.8559194782692752,0.8559194782692752,1.3691848064210914,1.3691848064210914
376,0.8570193346675375,0.8570193346675375,1.3659631416390159,1.3659631416390159
377,0.8581202753926135,0.8581202753926135,1.362745374190218,1.362745374190218
378,0.8592222988668743,0.8592222988668743,1.3595315059357915,1.3595315059357915
379,0.8603254035019938,0.8603254035019938,1.3563215387368779,1.3563215387368779
380,0.8614295876988078,0.8614295876988078,1.3531154744547014,1.3531154744547014
381,0.862534849847157,0.862534849847157,1.349913314950588,1.349913314950588
382,0.863641188325698,0.863641188325698,1.346715062085988,1.346715062085988
383,0.8647486015017063,0.8647486015017063,1.3435207177225041,1.3435207177225041
384,0.8658570877308394,0.8658570877308394,1.3403302837219133,1.3403302837219133
