,i,a,e,f,g
0,4.576472023473555,6978.000001433077,2.0537073675721305e-10,2.117582368135751e-22,0.0
1,4.5764720234639125,6978.00000157366,2.255172545271796e-10,-3.705769144237564e-22,0.0
2,4.576472023454269,6978.000001714242,2.4566378134541557e-10,3.441071348220595e-22,0.0
3,4.576472023444626,6978.000001854825,2.658104528096531e-10,-3.441071348220595e-22,0.0
4,4.576472023434982,6978.000001995407,2.8595687442086133e-10,4.499862532288471e-22,-9.094947017729282e-13
5,4.576472023425339,6978.000002135989,3.0610330494311965e-10,-5.293955920339377e-23,9.094947017729282e-13
6,4.576472023415695,6978.000002276573,3.2625001058109575e-10,5.029258124322408e-22,0.0
7,4.576472023406052,6978.000002417155,3.463964612752021e-10,0.0,0.0
8,4.576472023396409,6978.000002557737,3.665430568077197e-10,-5.558653716356346e-22,0.0
9,4.576472023386765,6978.000002698321,3.8668966487285535e-10,5.293955920339377e-23,0.0
10,4.576472023377122,6978.000002838902,4.0683614673021964e-10,-3.970466940254533e-22,0.0
11,4.5764720233674785,6978.0000029794855,4.269827765053365e-10,2.3822801641527197e-22,0.0
12,4.5764720233578355,6978.000003120068,4.471292870895816e-10,-3.705769144237564e-22,-9.094947017729282e-13
13,4.576472023348192,6978.000003260651,4.672759372470813e-10,2.9116757561866574e-22,0.0
14,4.576472023338549,6978.000003401235,4.874225981422105e-10,-3.705769144237564e-22,0.0
15,4.576472023328905,6978.000003541818,5.075692683313741e-10,2.3822801641527197e-22,-9.094947017729282e-13
16,4.576472023319262,6978.0000036824,5.277158174989768e-10,-3.1763735522036263e-22,-9.094947017729282e-13
17,4.576472023309618,6978.000003822983,5.478622541020466e-10,4.764560328305439e-22,0.0
18,4.576472023299975,6978.000003963566,5.680089628157336e-10,-2.3822801641527197e-22,-9.094947017729282e-13
19,4.576472023290331,6978.000004104149,5.881556715485698e-10,3.970466940254533e-22,-9.094947017729282e-13
20,4.576472023280688,6978.000004244733,6.083022703271775e-10,-2.9116757561866574e-22,-9.094947017729282e-13
