,i,a,e,f,g
0,1.7067125976518867,6977.990000000205,-1.4330774040998043e-06,-7.940933880509066e-23,0.0
1,1.7067125303609987,6977.9890190192455,-1.5736597929624074e-06,0.0,0.0
2,1.706712463070124,6977.988038038284,-1.7142422215745812e-06,0.0,0.0
3,1.7067123957792627,6977.987057057322,-1.8548246896703716e-06,-5.293955920339377e-23,-9.094947017729282e-13
4,1.7067123284884151,6977.986076076362,-1.9954071972532096e-06,7.940933880509066e-23,9.094947017729282e-13
5,1.706712261197581,6977.985095095401,-2.1359897440643313e-06,5.293955920339377e-23,-1.8189894035458565e-12
6,1.70671219390676,6977.984114114441,-2.2765723307500237e-06,-1.0587911840678754e-22,-1.8189894035458565e-12
7,1.7067121266159526,6977.983133133479,-2.417154957058211e-06,2.6469779601696886e-23,0.0
8,1.7067120593251588,6977.982152152518,-2.5577376228498226e-06,2.6469779601696886e-23,0.0
9,1.7067119920343785,6977.981171171558,-2.69832032773574e-06,1.3234889800848443e-22,0.0
10,1.7067119247436113,6977.980190190597,-2.838903072767196e-06,-5.293955920339377e-23,9.094947017729282e-13
11,1.706711857452858,6977.979209209636,-2.9794858570182848e-06,1.0587911840678754e-22,0.0
12,1.7067117901621178,6977.978228228675,-3.1200686808864715e-06,1.0587911840678754e-22,1.8189894035458565e-12
13,1.7067117228713913,6977.977247247714,-3.260651544112991e-06,1.0587911840678754e-22,0.0
14,1.706711655580678,6977.976266266754,-3.40123444682668e-06,0.0,-9.094947017729282e-13
15,1.7067115882899784,6977.975285285793,-3.5418173892896933e-06,0.0,9.094947017729282e-13
16,1.706711520999292,6977.974304304831,-3.6824003712412797e-06,-5.293955920339377e-23,0.0
17,1.7067114537086194,6977.97332332387,-3.822983392672981e-06,1.5881867761018131e-22,0.0
18,1.70671138641796,6977.9723423429095,-3.963566453721546e-06,-2.6469779601696886e-23,9.094947017729282e-13
19,1.7067113191273142,6977.971361361949,-4.104149554137642e-06,7.940933880509066e-23,9.094947017729282e-13
20,1.7067112518366818,6977.970380380989,-4.244732694031243e-06,5.293955920339377e-23,0.0
21,1.7067111845460627,6977.969399400027,-4.385315873542602e-06,-1.0587911840678754e-22,-9.094947017729282e-13
22,1.7067111172554574,6977.968418419066,-4.525899092679595e-06,1.3234889800848443e-22,0.0
23,1.7067110499648652,6977.967437438106,-4.6664823512949845e-06,-1.3234889800848443e-22,0.0
24,1.7067109826742866,6977.966456457144,-4.807065649525522e-06,-1.5881867761018131e-22,0.0
25,1.7067109153837217,6977.965475476184,-4.947648986996468e-06,0.0,0.0
26,1.7067108480931699,6977.964494495222,-5.0882323642073815e-06,-5.293955920339377e-23,-9.094947017729282e-13
27,1.7067107808026318,6977.963513514263,-5.228815780768165e-06,0.0,0.0
28,1.706710713512107,6977.962532533301,-5.369399237086692e-06,-1.3234889800848443e-22,-9.094947017729282e-13
29,1.7067106462215957,6977.96155155234,-5.509982733017203e-06,0.0,0.0
30,1.706710578931098,6977.960570571379,-5.650566268182468e-06,2.6469779601696886e-23,0.0
31,1.7067105116406136,6977.959589590419,-5.791149842829282e-06,5.293955920339377e-23,-9.094947017729282e-13
32,1.7067104443501426,6977.958608609457,-5.931733457480517e-06,2.6469779601696886e-23,9.094947017729282e-13
33,1.7067103770596852,6977.957627628496,-6.07231711135648e-06,7.940933880509066e-23,9.094947017729282e-13
34,1.706710309769241,6977.956646647535,-6.2129008044754584e-06,-1.0587911840678754e-22,-9.094947017729282e-13
35,1.7067102424788105,6977.9556656665745,-6.353484537590316e-06,-1.0587911840678754e-22,0.0
36,1.7067101751883935,6977.954684685613,-6.49406831019198e-06,-2.6469779601696886e-23,9.094947017729282e-13
37,1.7067101078979898,6977.953703704652,-6.634652122026633e-06,-1.5881867761018131e-22,-9.094947017729282e-13
38,1.7067100406075997,6977.952722723691,-6.77523597360327e-06,-7.940933880509066e-23,0.0
39,1.706709973317223,6977.9517417427305,-6.915819864543175e-06,2.6469779601696886e-23,0.0
40,1.7067099060268598,6977.95076076177,-7.056403795098599e-06,-7.940933880509066e-23,0.0
41,1.70670983873651,6977.949779780809,-7.1969877651351715e-06,0.0,-9.094947017729282e-13
42,1.7067097714461736,6977.948798799847,-7.337571774927441e-06,0.0,0.0
43,1.7067097041558508,6977.9478178188865,-7.478155823949498e-06,-2.6469779601696886e-23,-9.094947017729282e-13
44,1.7067096368655414,6977.946836837927,-7.618739912451096e-06,-5.293955920339377e-23,0.0
45,1.7067095695752454,6977.945855856965,-7.75932404083169e-06,0.0,0.0
46,1.706709502284963,6977.944874876004,-7.899908208572303e-06,7.940933880509066e-23,0.0
47,1.7067094349946939,6977.9438938950425,-8.04049241592815e-06,2.6469779601696886e-23,0.0
48,1.7067093677044383,6977.942912914082,-8.181076662648382e-06,-2.6469779601696886e-23,-9.094947017729282e-13
49,1.7067093004141962,6977.941931933121,-8.321660948858868e-06,5.293955920339377e-23,-9.094947017729282e-13
50,1.7067092331239675,6977.940950952159,-8.4622452749313e-06,1.3234889800848443e-22,0.0
51,1.7067091658337523,6977.9399699711985,-8.602829640118193e-06,1.3234889800848443e-22,0.0
52,1.7067090985435505,6977.938988990237,-8.743414045173893e-06,2.6469779601696886e-23,0.0
53,1.7067090312533622,6977.938008009276,-8.88399848972116e-06,2.6469779601696886e-23,9.094947017729282e-13
54,1.7067089639631874,6977.937027028315,-9.024582973635058e-06,7.940933880509066e-23,0.0
55,1.706708896673026,6977.936046047354,-9.165167497136108e-06,1.0587911840678754e-22,0.0
56,1.706708829382878,6977.935065066393,-9.305752060017582e-06,1.3234889800848443e-22,-9.094947017729282e-13
57,1.7067087620927435,6977.934084085433,-9.446336662395917e-06,-1.5881867761018131e-22,-9.094947017729282e-13
58,1.7067086948026224,6977.933103104471,-9.58692130450403e-06,-1.5881867761018131e-22,-9.094947017729282e-13
59,1.7067086275125147,6977.9321221235095,-9.727505986378056e-06,-1.3234889800848443e-22,-9.094947017729282e-13
60,1.7067085602224208,6977.931141142549,-9.868090707329995e-06,-2.6469779601696886e-23,-1.8189894035458565e-12
61,1.7067084929323402,6977.930160161587,-1.0008675468291636e-05,5.293955920339377e-23,0.0
62,1.7067084256422729,6977.929179180626,-1.014926026823692e-05,-1.3234889800848443e-22,-9.094947017729282e-13
63,1.7067083583522193,6977.9281981996655,-1.0289845108053046e-05,1.3234889800848443e-22,0.0
64,1.706708291062179,6977.927217218704,-1.0430429987221506e-05,-5.293955920339377e-23,-9.094947017729282e-13
65,1.706708223772152,6977.926236237743,-1.0571014906133335e-05,-1.0587911840678754e-22,0.0
66,1.7067081564821387,6977.925255256781,-1.0711599864547103e-05,-5.293955920339377e-23,9.094947017729282e-13
67,1.706708089192139,6977.924274275821,-1.0852184862202054e-05,5.293955920339377e-23,0.0
68,1.7067080219021524,6977.92329329486,-1.0992769899716724e-05,-5.293955920339377e-23,9.094947017729282e-13
69,1.7067079546121793,6977.922312313898,-1.1133354976580553e-05,-1.5881867761018131e-22,0.0
70,1.70670788732222,6977.921331332937,-1.1273940092932277e-05,-2.6469779601696886e-23,9.094947017729282e-13
71,1.7067078200322738,6977.920350351976,-1.141452524891609e-05,0.0,0.0
72,1.706707752742341,6977.919369371014,-1.1555110444401588e-05,-5.293955920339377e-23,0.0
73,1.7067076854524221,6977.918388390053,-1.1695695679482917e-05,1.3234889800848443e-22,0.0
